,Cambodia_frp,Myanmar_frp,Thailand_frp,Lao_PDR_frp
2016-01-01 07:00:00,0.0,0.0,0.0,0.0
2016-01-01 08:00:00,0.0,0.0,0.0,0.0
2016-01-01 09:00:00,0.0,0.0,0.0,0.0
2016-01-01 10:00:00,0.0,0.0,0.0,0.0
2016-01-01 11:00:00,0.0,0.0,0.0,0.0
2016-01-01 12:00:00,0.0,0.0,0.0,0.0
2016-01-01 13:00:00,7.933460505104783,4.0105202312138735,7.547233201581025,5.528478260869565
2016-01-01 14:00:00,0.0,0.0,0.0,0.0
2016-01-01 15:00:00,0.0,0.0,0.0,0.0
2016-01-01 16:00:00,0.0,0.0,0.0,0.0
2016-01-01 17:00:00,0.0,0.0,0.0,0.0
2016-01-01 18:00:00,0.0,0.0,0.0,0.0
2016-01-01 19:00:00,0.0,0.0,0.0,0.0
2016-01-01 20:00:00,0.0,0.0,0.0,0.0
2016-01-01 21:00:00,0.0,0.0,0.0,0.0
2016-01-01 22:00:00,0.0,0.0,0.0,0.0
2016-01-01 23:00:00,0.0,0.0,0.0,0.0
2016-01-02 00:00:00,1.661249999999999,0.0,1.115,0.34
2016-01-02 01:00:00,0.0,0.0,0.0,0.0
2016-01-02 02:00:00,1.58875,0.8036363636363637,1.5616129032258066,1.2133333333333334
2016-01-02 03:00:00,0.0,0.0,0.0,0.0
2016-01-02 04:00:00,0.0,0.0,0.0,0.0
2016-01-02 05:00:00,0.0,0.0,0.0,0.0
2016-01-02 06:00:00,0.0,0.0,0.0,0.0
2016-01-02 07:00:00,0.0,0.0,0.0,0.0
2016-01-02 08:00:00,0.0,0.0,0.0,0.0
2016-01-02 09:00:00,0.0,0.0,0.0,0.0
2016-01-02 10:00:00,0.0,0.0,0.0,0.0
2016-01-02 11:00:00,0.0,0.0,0.0,0.0
2016-01-02 12:00:00,0.0,0.0,0.0,0.0
2016-01-02 13:00:00,7.058265376641339,6.498321167883211,5.134472656249995,4.925789473684211
2016-01-02 14:00:00,0.0,0.0,0.0,0.0
