,Chanthaburi,Chanthaburi,Chanthaburi,Chanthaburi
,Temp,WindDir,Wind Speed,PM2.5
Datetime,,,,
2016-03-03 07:00:00,25.4,70,20,44.2
2016-03-03 10:00:00,30.9,75,16,40.9
2016-03-03 13:00:00,33.4,65,11,32.4
2016-03-03 16:00:00,31.7,55,10,37.8
2016-03-03 19:00:00,27.2,65,17,47.2
2016-03-03 22:00:00,25.6,70,18,35.4
2016-03-04 01:00:00,24.7,65,22,30.53333333333333
2016-03-04 04:00:00,24.0,85,24,32.300000000000004
2016-03-04 07:00:00,25.6,90,23,32.63333333333333
2016-03-04 10:00:00,30.3,100,16,30.666666666666668
2016-03-04 13:00:00,31.3,100,8,28.33333333333333
2016-03-04 16:00:00,30.7,65,6,28.866666666666664
2016-03-04 19:00:00,27.2,50,17,34.6
2016-03-04 22:00:00,26.1,70,23,34.13333333333333
2016-03-05 01:00:00,25.3,85,23,33.93333333333334
2016-03-05 04:00:00,24.9,90,21,34.03333333333334
2016-03-05 07:00:00,26.0,120,18,34.13333333333333
2016-03-05 10:00:00,30.1,110,17,34.03333333333333
2016-03-05 13:00:00,31.6,105,12,33.9
2016-03-05 16:00:00,30.7,75,10,33.849999999999994
2016-03-05 19:00:00,27.5,65,20,29.53333333333333
2016-03-05 22:00:00,26.5,85,24,26.133333333333336
2016-03-06 01:00:00,26.1,85,23,25.866666666666664
2016-03-06 04:00:00,25.5,95,22,32.2
2016-03-06 07:00:00,26.4,105,16,29.266666666666666
2016-03-06 10:00:00,30.2,100,21,30.399999999999995
2016-03-06 13:00:00,31.8,110,16,24.433333333333334
2016-03-06 16:00:00,31.0,90,12,26.46666666666667
2016-03-06 19:00:00,27.8,55,18,30.33333333333333
2016-03-06 22:00:00,27.0,65,22,27.96666666666667
2016-03-07 01:00:00,26.2,75,18,27.866666666666664
2016-03-07 04:00:00,25.4,90,15,31.366666666666664
2016-03-07 07:00:00,26.5,105,10,30.100000000000005
2016-03-07 10:00:00,30.4,90,14,26.13333333333333
2016-03-07 13:00:00,32.4,90,10,19.866666666666667
2016-03-07 16:00:00,31.1,75,9,25.866666666666664
2016-03-07 19:00:00,27.4,65,15,26.866666666666664
2016-03-07 22:00:00,26.7,85,17,25.399999999999995
2016-03-08 01:00:00,26.6,120,13,28.73333333333333
2016-03-08 04:00:00,26.3,140,9,31.3
2016-03-08 07:00:00,27.4,145,7,30.633333333333336
2016-03-08 10:00:00,29.7,125,6,27.4
2016-03-08 13:00:00,32.0,85,3,22.133333333333336
2016-03-08 16:00:00,31.3,115,2,26.8
2016-03-08 19:00:00,27.6,110,4,27.96666666666667
2016-03-08 22:00:00,26.6,120,3,22.0
2016-03-09 01:00:00,26.0,215,5,32.300000000000004
2016-03-09 04:00:00,25.6,200,6,28.5
2016-03-09 07:00:00,26.9,205,5,33.06666666666667
2016-03-09 10:00:00,31.3,240,2,29.9
2016-03-09 13:00:00,32.9,185,3,26.766666666666666
2016-03-09 16:00:00,32.1,165,2,29.366666666666664
2016-03-09 19:00:00,27.5,90,10,26.83333333333333
2016-03-09 22:00:00,26.9,90,10,22.3
2016-03-10 01:00:00,26.3,85,5,28.05
2016-03-10 04:00:00,26.0,85,4,30.23333333333333
2016-03-10 07:00:00,27.0,210,3,33.63333333333333
2016-03-10 10:00:00,31.6,335,1,31.53333333333333
2016-03-10 13:00:00,33.6,80,3,26.53333333333333
2016-03-10 16:00:00,32.4,60,8,27.666666666666668
2016-03-10 19:00:00,27.8,60,16,26.8
2016-03-10 22:00:00,26.8,70,21,21.3
2016-03-11 01:00:00,26.2,90,17,27.600000000000005
2016-03-11 04:00:00,25.8,110,13,27.8
2016-03-11 07:00:00,26.8,130,13,27.766666666666666
2016-03-11 10:00:00,31.2,115,15,27.666666666666668
2016-03-11 13:00:00,33.3,115,13,27.7
2016-03-11 16:00:00,31.8,95,11,27.73333333333333
2016-03-11 19:00:00,28.4,80,20,27.899999999999995
2016-03-11 22:00:00,27.3,85,26,27.866666666666664
2016-03-12 01:00:00,26.6,90,9,27.73333333333333
2016-03-12 04:00:00,26.6,110,7,27.8
2016-03-12 07:00:00,27.1,130,10,27.8
2016-03-12 10:00:00,30.9,130,13,27.766666666666666
2016-03-12 13:00:00,31.5,145,13,27.666666666666668
2016-03-12 16:00:00,31.0,160,17,24.4
2016-03-12 19:00:00,27.9,155,21,17.03333333333333
2016-03-12 22:00:00,26.9,165,18,15.166666666666666
2016-03-13 01:00:00,26.2,190,15,22.6
2016-03-13 04:00:00,26.3,210,16,22.3
2016-03-13 07:00:00,27.2,210,16,24.23333333333333
2016-03-13 10:00:00,30.2,215,15,25.46666666666667
2016-03-13 13:00:00,31.7,220,12,25.133333333333336
2016-03-13 16:00:00,31.0,210,8,21.166666666666668
2016-03-13 19:00:00,27.5,155,7,27.3
2016-03-13 22:00:00,26.8,120,6,18.3
2016-03-14 01:00:00,26.0,65,4,23.166666666666668
2016-03-14 04:00:00,25.6,105,7,26.23333333333333
2016-03-14 07:00:00,27.0,180,9,30.066666666666663
2016-03-14 10:00:00,31.2,165,7,23.53333333333333
2016-03-14 13:00:00,33.1,135,9,17.45
2016-03-14 16:00:00,31.6,140,8,18.23333333333333
2016-03-14 19:00:00,27.9,145,6,20.9
2016-03-14 22:00:00,27.3,130,6,19.200000000000003
2016-03-15 01:00:00,26.5,115,8,23.0
2016-03-15 04:00:00,26.3,160,10,25.666666666666668
2016-03-15 07:00:00,27.4,240,10,27.266666666666666
2016-03-15 10:00:00,31.6,245,7,28.766666666666666
2016-03-15 13:00:00,32.3,210,9,25.166666666666668
2016-03-15 16:00:00,31.4,185,8,22.566666666666663
2016-03-15 19:00:00,27.9,125,6,30.633333333333336
2016-03-15 22:00:00,27.1,125,5,39.96666666666667
2016-03-16 01:00:00,26.6,210,4,26.9
2016-03-16 04:00:00,26.9,195,12,23.95
2016-03-16 07:00:00,27.2,195,18,27.33333333333333
2016-03-16 10:00:00,30.7,195,13,28.6
2016-03-16 13:00:00,31.9,220,6,23.433333333333334
2016-03-16 16:00:00,31.0,190,5,22.266666666666666
2016-03-16 19:00:00,27.8,185,8,26.33333333333333
2016-03-16 22:00:00,26.7,205,5,29.46666666666667
2016-03-17 01:00:00,26.1,165,6,29.066666666666663
2016-03-17 04:00:00,25.7,145,9,26.5
2016-03-17 07:00:00,27.2,150,14,29.03333333333333
2016-03-17 10:00:00,31.7,155,15,29.3
2016-03-17 13:00:00,33.1,155,15,28.066666666666663
2016-03-17 16:00:00,31.9,145,11,24.066666666666663
2016-03-17 19:00:00,27.8,100,6,28.46666666666667
2016-03-17 22:00:00,27.2,95,4,29.933333333333334
2016-03-18 01:00:00,26.5,290,5,31.26666666666667
2016-03-18 04:00:00,26.4,215,6,32.03333333333333
2016-03-18 07:00:00,27.5,210,6,30.666666666666668
2016-03-18 10:00:00,31.7,220,3,27.366666666666664
2016-03-18 13:00:00,33.0,245,3,28.266666666666666
2016-03-18 16:00:00,31.8,170,3,26.0
2016-03-18 19:00:00,28.3,80,7,29.133333333333336
2016-03-18 22:00:00,27.6,75,9,30.433333333333337
2016-03-19 01:00:00,26.9,90,8,36.73333333333333
2016-03-19 04:00:00,26.5,140,6,36.56666666666667
2016-03-19 07:00:00,27.6,170,8,33.300000000000004
2016-03-19 10:00:00,30.3,130,7,38.93333333333334
2016-03-19 13:00:00,33.3,80,7,37.63333333333333
2016-03-19 16:00:00,32.2,60,11,32.800000000000004
2016-03-19 19:00:00,28.3,50,18,36.6
2016-03-19 22:00:00,27.3,65,20,28.933333333333334
2016-03-20 01:00:00,26.9,90,16,28.766666666666666
2016-03-20 04:00:00,27.0,120,11,33.333333333333336
2016-03-20 07:00:00,27.6,130,13,27.0
2016-03-20 10:00:00,30.1,125,14,31.7
2016-03-20 13:00:00,32.7,155,16,26.666666666666668
2016-03-20 16:00:00,31.7,140,12,23.566666666666663
2016-03-20 19:00:00,27.5,120,10,29.96666666666667
2016-03-20 22:00:00,26.4,105,9,29.566666666666663
2016-03-21 01:00:00,25.9,125,8,28.96666666666667
2016-03-21 04:00:00,25.7,160,8,30.5
2016-03-21 07:00:00,27.1,160,6,27.53333333333333
2016-03-21 10:00:00,31.2,140,5,44.13333333333333
2016-03-21 13:00:00,32.8,110,2,31.33333333333333
2016-03-21 16:00:00,32.0,85,4,25.133333333333336
2016-03-21 19:00:00,27.9,115,8,32.6
2016-03-21 22:00:00,26.8,100,8,36.49999999999999
2016-03-22 01:00:00,25.9,115,5,35.53333333333334
2016-03-22 04:00:00,25.7,145,7,34.300000000000004
2016-03-22 07:00:00,27.4,185,10,34.9
2016-03-22 10:00:00,31.5,190,8,31.366666666666664
2016-03-22 13:00:00,33.1,205,5,25.9
2016-03-22 16:00:00,31.8,185,3,25.03333333333333
2016-03-22 19:00:00,27.4,125,2,33.36666666666667
2016-03-22 22:00:00,26.4,80,1,36.96666666666667
2016-03-23 01:00:00,25.9,230,5,40.63333333333333
2016-03-23 04:00:00,26.1,215,11,34.7
2016-03-23 07:00:00,27.6,205,16,42.5
2016-03-23 10:00:00,31.2,205,14,43.0
2016-03-23 13:00:00,32.9,210,10,32.73333333333333
2016-03-23 16:00:00,31.8,210,10,32.63333333333333
2016-03-23 19:00:00,27.6,190,11,40.6
2016-03-23 22:00:00,26.9,220,10,40.93333333333334
2016-03-24 01:00:00,26.0,225,11,44.1
2016-03-24 04:00:00,25.8,230,9,41.4
2016-03-24 07:00:00,27.2,230,11,54.53333333333333
2016-03-24 10:00:00,31.4,225,7,43.53333333333334
2016-03-24 13:00:00,33.0,205,1,34.23333333333333
2016-03-24 16:00:00,32.1,100,4,37.26666666666667
2016-03-24 19:00:00,27.7,75,12,37.93333333333333
2016-03-24 22:00:00,26.7,80,17,31.666666666666668
2016-03-25 01:00:00,26.0,100,22,34.76666666666667
2016-03-25 04:00:00,25.9,125,20,32.766666666666666
2016-03-25 07:00:00,27.4,145,15,32.0
2016-03-25 10:00:00,31.0,120,12,28.133333333333336
2016-03-25 13:00:00,32.6,115,12,26.066666666666663
2016-03-25 16:00:00,31.3,85,10,28.866666666666664
2016-03-25 19:00:00,27.6,65,19,36.16666666666666
2016-03-25 22:00:00,26.7,65,25,36.7
2016-03-26 01:00:00,25.9,90,27,33.26666666666667
2016-03-26 04:00:00,25.5,100,31,39.56666666666667
2016-03-26 07:00:00,25.1,115,18,38.86666666666667
2016-03-26 10:00:00,30.1,100,14,40.23333333333333
2016-03-26 13:00:00,32.8,60,14,32.06666666666666
2016-03-26 16:00:00,31.8,60,13,27.46666666666667
2016-03-26 19:00:00,27.5,65,19,33.1
2016-03-26 22:00:00,26.7,65,28,35.166666666666664
2016-03-27 01:00:00,25.8,80,35,33.5
2016-03-27 04:00:00,25.1,85,34,31.0
2016-03-27 07:00:00,26.1,80,24,31.766666666666666
2016-03-27 10:00:00,31.0,90,22,34.300000000000004
2016-03-27 13:00:00,32.3,60,21,39.833333333333336
2016-03-27 16:00:00,30.4,65,19,41.16666666666666
2016-03-27 19:00:00,27.7,60,28,43.833333333333336
2016-03-27 22:00:00,26.6,70,33,43.633333333333326
2016-03-28 01:00:00,25.7,70,29,48.5
2016-03-28 04:00:00,25.8,70,32,53.366666666666674
2016-03-28 07:00:00,25.6,90,25,54.79999999999999
2016-03-28 10:00:00,30.1,95,23,57.333333333333336
2016-03-28 13:00:00,32.5,80,20,57.03333333333333
2016-03-28 16:00:00,30.7,65,18,48.95
2016-03-28 19:00:00,27.1,60,19,51.86666666666667
2016-03-28 22:00:00,26.3,65,22,43.56666666666666
2016-03-29 01:00:00,25.4,90,24,42.2
2016-03-29 04:00:00,24.5,100,24,43.03333333333333
2016-03-29 07:00:00,27.1,85,22,31.266666666666666
2016-03-29 10:00:00,31.4,75,18,29.066666666666663
2016-03-29 13:00:00,31.7,60,15,39.26666666666666
2016-03-29 16:00:00,31.0,65,12,42.66666666666666
2016-03-29 19:00:00,27.4,75,22,44.23333333333333
2016-03-29 22:00:00,26.3,80,26,39.53333333333333
2016-03-30 01:00:00,25.8,85,20,45.43333333333334
2016-03-30 04:00:00,25.1,95,24,42.66666666666666
2016-03-30 07:00:00,26.5,110,23,46.43333333333334
2016-03-30 10:00:00,30.2,110,18,44.16666666666666
2016-03-30 13:00:00,31.6,100,14,43.833333333333336
2016-03-30 16:00:00,30.2,60,11,43.46666666666666
2016-03-30 19:00:00,27.2,60,21,52.4
2016-03-30 22:00:00,26.4,80,27,38.16666666666666
2016-03-31 01:00:00,26.0,105,25,56.8
2016-03-31 04:00:00,25.7,135,16,43.86666666666667
2016-03-31 07:00:00,26.6,125,16,56.2
2016-03-31 10:00:00,30.0,110,18,52.4
2016-03-31 13:00:00,31.7,105,10,49.16666666666666
2016-03-31 16:00:00,30.4,65,11,54.1
2016-03-31 19:00:00,27.4,60,18,46.16666666666666
2016-03-31 22:00:00,26.6,80,20,25.03333333333333
2016-04-01 01:00:00,26.0,135,15,32.93333333333334
2016-04-01 04:00:00,25.5,135,18,34.26666666666667
2016-04-01 07:00:00,26.8,120,19,34.0
2016-04-01 10:00:00,30.8,110,14,35.96666666666667
2016-04-01 13:00:00,31.6,120,8,30.33333333333333
2016-04-01 16:00:00,30.7,115,6,33.333333333333336
2016-04-01 19:00:00,27.7,80,12,39.06666666666667
2016-04-01 22:00:00,26.7,80,20,23.666666666666668
2016-04-02 01:00:00,25.9,90,25,24.83333333333333
2016-04-02 04:00:00,25.2,105,23,28.7
2016-04-02 07:00:00,26.9,110,14,24.266666666666666
2016-04-02 10:00:00,31.0,105,11,23.266666666666666
2016-04-02 13:00:00,32.2,115,6,27.133333333333336
2016-04-02 16:00:00,31.0,130,6,27.33333333333333
2016-04-02 19:00:00,27.7,70,10,34.0
2016-04-02 22:00:00,26.9,85,21,22.566666666666663
2016-04-03 01:00:00,26.4,105,24,24.866666666666664
2016-04-03 04:00:00,26.1,115,20,30.76666666666667
2016-04-03 07:00:00,27.3,105,14,32.1
2016-04-03 10:00:00,31.2,95,12,23.133333333333336
2016-04-03 13:00:00,32.8,80,9,23.5
2016-04-03 16:00:00,31.6,55,6,26.8
2016-04-03 19:00:00,28.0,35,6,29.8
2016-04-03 22:00:00,27.2,75,11,25.1
2016-04-04 01:00:00,26.4,95,13,23.399999999999995
2016-04-04 04:00:00,26.0,115,10,19.666666666666668
2016-04-04 07:00:00,27.3,100,8,26.266666666666666
2016-04-04 10:00:00,31.2,75,8,22.366666666666664
2016-04-04 13:00:00,32.5,105,4,21.03333333333333
2016-04-04 16:00:00,31.0,155,3,17.433333333333334
2016-04-04 19:00:00,27.5,120,7,26.866666666666664
2016-04-04 22:00:00,26.9,130,7,19.366666666666667
2016-04-05 01:00:00,25.9,145,10,22.9
2016-04-05 04:00:00,25.7,150,12,21.766666666666666
2016-04-05 07:00:00,27.6,165,7,20.46666666666667
2016-04-05 10:00:00,30.4,155,6,19.23333333333333
2016-04-05 13:00:00,32.3,180,6,20.7
2016-04-05 16:00:00,31.7,170,6,23.23333333333333
2016-04-05 19:00:00,27.3,150,9,20.633333333333333
2016-04-05 22:00:00,26.4,155,8,21.633333333333336
2016-04-06 01:00:00,25.6,175,7,27.23333333333333
2016-04-06 04:00:00,25.4,185,8,19.2
2016-04-06 07:00:00,27.5,195,9,25.566666666666663
2016-04-06 10:00:00,31.7,215,7,25.066666666666663
2016-04-06 13:00:00,33.2,260,3,21.566666666666663
2016-04-06 16:00:00,32.2,235,3,24.53333333333333
2016-04-06 19:00:00,27.9,160,5,23.26666666666667
2016-04-06 22:00:00,27.0,215,5,19.166666666666668
2016-04-07 01:00:00,26.4,190,6,25.5
2016-04-07 04:00:00,26.4,190,12,23.73333333333333
2016-04-07 07:00:00,28.0,200,17,21.3
2016-04-07 10:00:00,31.0,200,13,26.666666666666668
2016-04-07 13:00:00,32.4,165,7,25.633333333333336
2016-04-07 16:00:00,32.1,130,6,23.03333333333333
2016-04-07 19:00:00,28.2,125,9,25.366666666666664
2016-04-07 22:00:00,27.2,110,13,18.73333333333333
2016-04-08 01:00:00,26.5,145,11,23.83333333333333
2016-04-08 04:00:00,26.4,160,10,23.166666666666668
2016-04-08 07:00:00,28.0,145,18,23.1
2016-04-08 10:00:00,30.4,150,15,21.0
2016-04-08 13:00:00,32.4,170,14,20.2
2016-04-08 16:00:00,31.6,165,10,20.53333333333333
2016-04-08 19:00:00,28.1,100,15,21.933333333333337
2016-04-08 22:00:00,27.3,90,17,15.233333333333334
2016-04-09 01:00:00,26.7,100,13,18.366666666666664
2016-04-09 04:00:00,26.4,130,12,20.26666666666667
2016-04-09 07:00:00,28.1,165,13,15.233333333333334
2016-04-09 10:00:00,31.8,170,13,23.100000000000005
2016-04-09 13:00:00,33.0,170,12,23.266666666666666
2016-04-09 16:00:00,32.1,170,11,19.1
2016-04-09 19:00:00,28.1,165,13,22.399999999999995
2016-04-09 22:00:00,27.4,190,7,15.633333333333336
2016-04-10 01:00:00,26.7,260,7,28.53333333333333
2016-04-10 04:00:00,26.5,245,10,26.4
2016-04-10 07:00:00,28.3,225,19,28.76666666666667
2016-04-10 10:00:00,31.5,245,15,24.566666666666663
2016-04-10 13:00:00,33.2,270,12,22.600000000000005
2016-04-10 16:00:00,32.5,285,10,24.2
2016-04-10 19:00:00,28.2,275,11,26.399999999999995
2016-04-10 22:00:00,27.2,280,17,21.433333333333334
2016-04-11 01:00:00,25.8,295,22,26.933333333333337
2016-04-11 04:00:00,26.0,275,18,35.93333333333334
2016-04-11 07:00:00,28.2,255,20,34.63333333333333
2016-04-11 10:00:00,32.1,260,17,36.06666666666667
2016-04-11 13:00:00,33.3,245,13,36.46666666666666
2016-04-11 16:00:00,32.2,240,14,32.56666666666666
2016-04-11 19:00:00,28.1,235,17,33.99999999999999
2016-04-11 22:00:00,27.0,250,21,29.76666666666667
2016-04-12 01:00:00,26.5,235,27,33.03333333333333
2016-04-12 04:00:00,27.0,235,23,38.53333333333334
2016-04-12 07:00:00,28.8,230,25,37.46666666666667
2016-04-12 10:00:00,31.6,225,23,43.0
2016-04-12 13:00:00,33.4,230,16,44.833333333333336
2016-04-12 16:00:00,32.8,230,17,47.7
2016-04-12 19:00:00,28.3,245,19,40.76111111111111
2016-04-12 22:00:00,26.9,270,23,40.76111111111111
2016-04-13 01:00:00,26.6,230,22,41.40952380952381
2016-04-13 04:00:00,27.3,240,22,39.7
2016-04-13 07:00:00,28.1,270,23,41.93333333333334
2016-04-13 10:00:00,32.3,265,20,45.1
2016-04-13 13:00:00,33.6,280,12,42.93333333333334
2016-04-13 16:00:00,33.0,270,9,49.53333333333334
2016-04-13 19:00:00,28.5,240,11,37.46666666666667
2016-04-13 22:00:00,27.2,250,14,33.2
2016-04-14 01:00:00,27.5,225,20,40.93333333333333
2016-04-14 04:00:00,28.0,210,16,47.1
2016-04-14 07:00:00,28.8,210,13,44.66666666666666
2016-04-14 10:00:00,32.2,225,13,44.76666666666667
2016-04-14 13:00:00,33.4,235,8,42.4
2016-04-14 16:00:00,33.2,225,6,39.5
2016-04-14 19:00:00,29.2,115,3,33.0
2016-04-14 22:00:00,28.0,160,4,24.6
2016-04-15 01:00:00,27.2,200,6,34.53333333333333
2016-04-15 04:00:00,27.0,170,8,37.9
2016-04-15 07:00:00,28.6,175,12,35.333333333333336
2016-04-15 10:00:00,32.0,160,8,42.96666666666667
2016-04-15 13:00:00,33.6,120,9,40.73333333333333
2016-04-15 16:00:00,32.7,130,11,35.833333333333336
2016-04-15 19:00:00,29.0,125,16,34.1
2016-04-15 22:00:00,28.1,130,16,28.8
2016-04-16 01:00:00,27.5,140,14,35.099999999999994
2016-04-16 04:00:00,27.4,155,16,33.46666666666667
2016-04-16 07:00:00,28.9,165,15,31.46666666666667
2016-04-16 10:00:00,32.1,155,11,36.73333333333333
2016-04-16 13:00:00,33.7,150,9,35.53333333333333
2016-04-16 16:00:00,32.7,135,10,38.4
2016-04-16 19:00:00,28.7,110,17,36.66666666666666
2016-04-16 22:00:00,27.9,115,17,23.5
2016-04-17 01:00:00,27.3,145,17,34.36666666666667
2016-04-17 04:00:00,27.1,170,22,33.83333333333333
2016-04-17 07:00:00,29.0,170,21,31.9
2016-04-17 10:00:00,32.7,160,20,37.7
2016-04-17 13:00:00,34.0,140,18,34.56666666666667
2016-04-17 16:00:00,32.9,135,17,34.36666666666667
2016-04-17 19:00:00,29.2,95,18,30.83333333333333
2016-04-17 22:00:00,28.5,95,23,21.066666666666663
2016-04-18 01:00:00,27.9,120,25,25.766666666666666
2016-04-18 04:00:00,27.7,135,21,26.83333333333333
2016-04-18 07:00:00,29.5,150,21,28.066666666666663
2016-04-18 10:00:00,32.6,160,22,33.56666666666666
2016-04-18 13:00:00,33.9,175,19,28.433333333333334
2016-04-18 16:00:00,33.1,155,15,29.5
2016-04-18 19:00:00,29.6,100,13,30.0
2016-04-18 22:00:00,28.4,80,18,17.8
2016-04-19 01:00:00,27.9,80,20,19.566666666666663
2016-04-19 04:00:00,27.6,100,20,30.399999999999995
2016-04-19 07:00:00,29.3,100,25,24.96666666666667
2016-04-19 10:00:00,33.2,105,18,24.2
2016-04-19 13:00:00,33.6,145,14,26.03333333333333
2016-04-19 16:00:00,32.5,150,10,22.0
2016-04-19 19:00:00,29.5,100,14,27.5
2016-04-19 22:00:00,28.5,110,19,18.633333333333336
2016-04-20 01:00:00,27.7,130,20,23.633333333333336
2016-04-20 04:00:00,27.2,135,16,25.266666666666666
2016-04-20 07:00:00,29.2,140,18,37.56666666666667
2016-04-20 10:00:00,31.3,150,11,16.533333333333335
2016-04-20 13:00:00,33.3,220,8,17.299999999999997
2016-04-20 16:00:00,31.9,215,5,18.933333333333334
2016-04-20 19:00:00,29.0,85,13,32.166666666666664
2016-04-20 22:00:00,28.2,85,19,16.666666666666668
2016-04-21 01:00:00,27.6,105,19,19.766666666666666
2016-04-21 04:00:00,27.5,125,16,24.133333333333336
2016-04-21 07:00:00,28.8,175,11,21.33333333333333
2016-04-21 10:00:00,32.3,170,5,34.1
2016-04-21 13:00:00,32.9,190,3,27.633333333333336
2016-04-21 16:00:00,32.3,180,4,31.0
2016-04-21 19:00:00,28.9,145,3,28.33333333333333
2016-04-21 22:00:00,28.1,130,5,17.26666666666667
2016-04-22 01:00:00,27.1,115,13,18.23333333333333
2016-04-22 04:00:00,26.7,125,14,30.96666666666667
2016-04-22 07:00:00,28.8,175,14,23.96666666666667
2016-04-22 10:00:00,32.3,195,11,28.8
2016-04-22 13:00:00,33.8,200,10,28.6
2016-04-22 16:00:00,32.5,200,10,29.2
2016-04-22 19:00:00,28.7,190,13,22.33333333333333
2016-04-22 22:00:00,27.8,195,15,22.3
2016-04-23 01:00:00,26.5,200,17,24.53333333333333
2016-04-23 04:00:00,26.4,200,19,25.866666666666664
2016-04-23 07:00:00,28.6,215,22,23.866666666666664
2016-04-23 10:00:00,32.2,220,16,22.5
2016-04-23 13:00:00,33.6,215,14,26.133333333333336
2016-04-23 16:00:00,32.4,210,12,22.33333333333333
2016-04-23 19:00:00,28.1,175,9,19.23333333333333
2016-04-23 22:00:00,27.5,175,8,19.36666666666667
2016-04-24 01:00:00,27.2,180,18,22.1
2016-04-24 04:00:00,27.1,190,21,22.7
2016-04-24 07:00:00,28.8,210,18,24.166666666666668
2016-04-24 10:00:00,32.0,210,9,24.03333333333333
2016-04-24 13:00:00,32.9,165,3,23.96666666666667
2016-04-24 16:00:00,32.2,100,5,20.366666666666664
2016-04-24 19:00:00,28.3,110,9,22.83333333333333
2016-04-24 22:00:00,27.6,110,10,18.866666666666664
2016-04-25 01:00:00,27.0,135,13,20.53333333333333
2016-04-25 04:00:00,26.9,160,16,24.26666666666667
2016-04-25 07:00:00,29.2,190,20,24.83333333333333
2016-04-25 10:00:00,32.3,180,15,24.73333333333333
2016-04-25 13:00:00,33.4,165,9,22.600000000000005
2016-04-25 16:00:00,32.8,155,8,22.366666666666664
2016-04-25 19:00:00,28.7,140,10,30.2
2016-04-25 22:00:00,28.0,115,8,28.33333333333333
2016-04-26 01:00:00,27.3,105,4,24.83333333333333
2016-04-26 04:00:00,27.0,145,5,31.3
2016-04-26 07:00:00,29.2,185,10,23.7
2016-04-26 10:00:00,33.3,165,8,24.066666666666663
2016-04-26 13:00:00,33.9,175,10,20.166666666666664
2016-04-26 16:00:00,33.0,175,8,22.5
2016-04-26 19:00:00,29.1,180,6,20.33333333333333
2016-04-26 22:00:00,28.2,225,4,26.633333333333336
2016-04-27 01:00:00,27.7,205,13,25.866666666666664
2016-04-27 04:00:00,27.6,205,20,36.7
2016-04-27 07:00:00,29.5,195,20,44.5
2016-04-27 10:00:00,32.8,200,16,24.76666666666667
2016-04-27 13:00:00,34.3,215,8,28.23333333333333
2016-04-27 16:00:00,33.2,215,4,26.399999999999995
2016-04-27 19:00:00,29.1,205,8,27.566666666666663
2016-04-27 22:00:00,28.4,235,8,27.53333333333333
2016-04-28 01:00:00,27.8,265,11,26.166666666666668
2016-04-28 04:00:00,27.3,225,9,32.53333333333333
2016-04-28 07:00:00,29.5,205,3,28.9
2016-04-28 10:00:00,33.6,175,5,23.96666666666667
2016-04-28 13:00:00,34.5,160,9,22.366666666666664
2016-04-28 16:00:00,33.4,140,6,21.066666666666663
2016-04-28 19:00:00,29.9,110,6,23.433333333333334
2016-04-28 22:00:00,28.7,125,3,22.96666666666667
2016-04-29 01:00:00,27.9,255,5,20.73333333333333
2016-04-29 04:00:00,27.8,190,3,30.133333333333336
2016-04-29 07:00:00,29.5,120,9,29.933333333333334
2016-04-29 10:00:00,33.2,105,9,31.566666666666663
2016-04-29 13:00:00,34.5,160,6,23.933333333333337
2016-04-29 16:00:00,32.9,120,6,20.500000000000004
2016-04-29 19:00:00,29.7,95,10,20.23333333333333
2016-04-29 22:00:00,28.8,90,9,22.23333333333333
2016-04-30 01:00:00,28.4,110,11,29.7
2016-04-30 04:00:00,27.6,135,9,15.733333333333334
2016-04-30 07:00:00,28.9,145,5,17.0
2016-04-30 10:00:00,32.7,135,4,20.1
2016-04-30 13:00:00,33.2,0,0,27.066666666666663
2016-04-30 16:00:00,32.1,80,3,28.7
2016-04-30 19:00:00,28.8,85,6,25.133333333333336
2016-04-30 22:00:00,28.5,150,4,14.033333333333331
2016-05-01 01:00:00,27.4,185,7,21.366666666666664
2016-05-01 04:00:00,26.7,190,8,17.1
2016-05-01 07:00:00,28.5,205,9,25.133333333333336
2016-05-01 10:00:00,33.3,205,7,26.3
2016-05-01 13:00:00,33.5,195,3,16.833333333333332
2016-05-01 16:00:00,32.7,185,2,21.4
2016-05-01 19:00:00,29.3,125,5,17.8
2016-05-01 22:00:00,28.4,115,6,11.9
2016-05-02 01:00:00,27.7,155,7,16.766666666666666
2016-05-02 04:00:00,27.4,140,6,17.03333333333333
2016-05-02 07:00:00,29.3,130,4,14.533333333333331
2016-05-02 10:00:00,33.0,180,3,20.266666666666666
2016-05-02 13:00:00,33.5,205,3,20.366666666666667
2016-05-02 16:00:00,32.6,225,2,21.03333333333333
2016-05-02 19:00:00,29.3,30,1,20.633333333333333
2016-05-02 22:00:00,28.5,80,8,14.666666666666666
2016-05-03 01:00:00,27.9,95,12,17.666666666666668
2016-05-03 04:00:00,27.4,110,11,18.633333333333336
2016-05-03 07:00:00,29.5,130,13,19.0
2016-05-03 10:00:00,33.0,140,11,17.833333333333332
2016-05-03 13:00:00,33.5,175,9,16.25
2016-05-03 16:00:00,32.4,160,7,20.133333333333333
2016-05-03 19:00:00,29.8,130,6,21.33333333333333
2016-05-03 22:00:00,28.8,105,9,13.866666666666664
2016-05-04 01:00:00,28.1,100,14,12.4
2016-05-04 04:00:00,27.4,75,14,18.666666666666668
2016-05-04 07:00:00,29.6,95,10,16.866666666666667
2016-05-04 10:00:00,33.5,100,9,21.766666666666666
